厂商,设备名称,文件格式,录制帧速率,录制设置,码率
Sony,FX30,XAVC HS 4K,59.94p,200M 4:2:2 10bit,200
Sony,FX30,XAVC HS 4K,59.94p,150M 4:2:0 10bit,150
Sony,FX30,XAVC HS 4K,59.94p,100M 4:2:2 10bit,100
Sony,FX30,XAVC HS 4K,59.94p,75M 4:2:0 10bit,75
Sony,FX30,XAVC HS 4K,59.94p,45M 4:2:0 10bit,45
Sony,FX30,XAVC HS 4K,50p,200M 4:2:2 10bit,200
Sony,FX30,XAVC HS 4K,50p,150M 4:2:0 10bit,150
Sony,FX30,XAVC HS 4K,50p,100M 4:2:2 10bit,100
Sony,FX30,XAVC HS 4K,50p,75M 4:2:0 10bit,75
Sony,FX30,XAVC HS 4K,50p,45M 4:2:0 10bit,45
Sony,FX30,XAVC HS 4K,23.98p,100M 4:2:2 10bit,100
Sony,FX30,XAVC HS 4K,23.98p,100M 4:2:0 10bit,100
Sony,FX30,XAVC HS 4K,23.98p,50M 4:2:2 10bit,50
Sony,FX30,XAVC HS 4K,23.98p,50M 4:2:0 10bit,50
Sony,FX30,XAVC HS 4K,23.98p,30M 4:2:0 10bit,30
Sony,FX30,XAVC HS 4K,119.88p,280M 4:2:2 10bit,280
Sony,FX30,XAVC HS 4K,119.88p,200M 4:2:0 10bit,200
Sony,FX30,XAVC HS 4K,100p,280M 4:2:2 10bit,280
Sony,FX30,XAVC HS 4K,100p,200M 4:2:0 10bit,200
Sony,FX30,XAVC S 4K,59.94p,200M 4:2:2 10bit,200
Sony,FX30,XAVC S 4K,59.94p,150M 4:2:0 8bit,150
Sony,FX30,XAVC S 4K,50p,200M 4:2:2 10bit,200
Sony,FX30,XAVC S 4K,50p,150M 4:2:0 8bit,150
Sony,FX30,XAVC S 4K,29.97p,140M 4:2:2 10bit,140
Sony,FX30,XAVC S 4K,29.97p,100M 4:2:0 8bit,100
Sony,FX30,XAVC S 4K,29.97p,60M 4:2:0 8bit,60
Sony,FX30,XAVC S 4K,25p,140M 4:2:2 10bit,140
Sony,FX30,XAVC S 4K,25p,100M 4:2:0 8bit,100
Sony,FX30,XAVC S 4K,25p,60M 4:2:0 8bit,60
Sony,FX30,XAVC S 4K,23.98p,100M 4:2:2 10bit,100
Sony,FX30,XAVC S 4K,23.98p,100M 4:2:0 8bit,100
Sony,FX30,XAVC S 4K,23.98p,60M 4:2:0 8bit,60
Sony,FX30,XAVC S 4K,119.88p,280M 4:2:2 10bit,280
Sony,FX30,XAVC S 4K,119.88p,200M 4:2:0 8bit,200
Sony,FX30,XAVC S 4K,100p,280M 4:2:2 10bit,280
Sony,FX30,XAVC S 4K,100p,200M 4:2:0 8bit,200
Sony,FX30,XAVC S HD,59.94p,50M 4:2:2 10bit,50
Sony,FX30,XAVC S HD,59.94p,50M 4:2:0 8bit,50
Sony,FX30,XAVC S HD,59.94p,25M 4:2:0 8bit,25
Sony,FX30,XAVC S HD,50p,50M 4:2:2 10bit,50
Sony,FX30,XAVC S HD,50p,50M 4:2:0 8bit,50
Sony,FX30,XAVC S HD,50p,25M 4:2:0 8bit,25
Sony,FX30,XAVC S HD,29.97p,50M 4:2:2 10bit,50
Sony,FX30,XAVC S HD,29.97p,50M 4:2:0 8bit,50
Sony,FX30,XAVC S HD,29.97p,16M 4:2:0 8bit,16
Sony,FX30,XAVC S HD,25p,50M 4:2:2 10bit,50
Sony,FX30,XAVC S HD,25p,50M 4:2:0 8bit,50
Sony,FX30,XAVC S HD,25p,16M 4:2:0 8bit,16
Sony,FX30,XAVC S HD,23.98p,50M 4:2:2 10bit,50
Sony,FX30,XAVC S HD,23.98p,50M 4:2:0 8bit,50
Sony,FX30,XAVC S HD,119.88p,100M 4:2:0 8bit,100
Sony,FX30,XAVC S HD,119.88p,60M 4:2:0 8bit,60
Sony,FX30,XAVC S HD,100p,100M 4:2:0 8bit,100
Sony,FX30,XAVC S HD,100p,60M 4:2:0 8bit,60
Sony,FX30,XAVC S-I 4K,59.94p,600M 4:2:2 10bit,600
Sony,FX30,XAVC S-I 4K,59.94p,500M 4:2:2 10bit,500
Sony,FX30,XAVC S-I 4K,50p,600M 4:2:2 10bit,600
Sony,FX30,XAVC S-I 4K,50p,500M 4:2:2 10bit,500
Sony,FX30,XAVC S-I 4K,29.97p,300M 4:2:2 10bit,300
Sony,FX30,XAVC S-I 4K,29.97p,250M 4:2:2 10bit,250
Sony,FX30,XAVC S-I 4K,25p,300M 4:2:2 10bit,300
Sony,FX30,XAVC S-I 4K,25p,250M 4:2:2 10bit,250
Sony,FX30,XAVC S-I 4K,23.98p,240M 4:2:2 10bit,240
Sony,FX30,XAVC S-I DCI 4K,59.94p,600M 4:2:2 10bit,600
Sony,FX30,XAVC S-I DCI 4K,59.94p,500M 4:2:2 10bit,500
Sony,FX30,XAVC S-I DCI 4K,50p,600M 4:2:2 10bit,600
Sony,FX30,XAVC S-I DCI 4K,50p,500M 4:2:2 10bit,500
Sony,FX30,XAVC S-I DCI 4K,29.97p,300M 4:2:2 10bit,300
Sony,FX30,XAVC S-I DCI 4K,29.97p,250M 4:2:2 10bit,250
Sony,FX30,XAVC S-I DCI 4K,25p,300M 4:2:2 10bit,300
Sony,FX30,XAVC S-I DCI 4K,25p,250M 4:2:2 10bit,250
Sony,FX30,XAVC S-I DCI 4K,23.98p,240M 4:2:2 10bit,240
Sony,FX30,XAVC S-I DCI 4K,24.00p,240M 4:2:2 10bit,240
Sony,FX30,XAVC S-I HD,59.94p,222M 4:2:2 10bit,222
Sony,FX30,XAVC S-I HD,59.94p,185M 4:2:2 10bit,185
Sony,FX30,XAVC S-I HD,50p,222M 4:2:2 10bit,222
Sony,FX30,XAVC S-I HD,50p,185M 4:2:2 10bit,185
Sony,FX30,XAVC S-I HD,29.97p,111M 4:2:2 10bit,111
Sony,FX30,XAVC S-I HD,29.97p,93M 4:2:2 10bit,93
Sony,FX30,XAVC S-I HD,25p,111M 4:2:2 10bit,111
Sony,FX30,XAVC S-I HD,25p,93M 4:2:2 10bit,93
Sony,FX30,XAVC S-I HD,23.98p,89M 4:2:2 10bit,89
Apple,iPhone 14 Pro,H.264 4K,60p,标准,100
Apple,iPhone 15 Pro,H.264 4K,60p,标准,120
Canon,EOS R5,H.265 8K,30p,标准,400
Canon,EOS R6,H.264 4K,60p,标准,150
GoPro,Hero 11,H.265 5.3K,60p,标准,78
